Date,Gold_Close,TIPS_Yield,60d_Correlation,Regime
2022-03-30,1933.5,-0.51,-0.38047093474702437,REGIME_TRANSITION
2022-03-31,1949.199951171875,-0.52,-0.4031226922913797,REGIME_TRANSITION
2022-04-01,1919.0999755859375,-0.41,-0.40621656508504245,REGIME_TRANSITION
2022-04-04,1929.199951171875,-0.38,-0.402368833622054,REGIME_TRANSITION
2022-04-05,1922.9000244140625,-0.3,-0.3908056930783115,REGIME_TRANSITION
2022-04-06,1918.4000244140625,-0.22,-0.37306444625392526,REGIME_TRANSITION
2022-04-07,1933.800048828125,-0.16,-0.34997168750353835,REGIME_TRANSITION
2022-04-08,1941.5999755859375,-0.15,-0.31790127500940046,REGIME_TRANSITION
2022-04-11,1944.300048828125,-0.12,-0.288140736539605,REGIME_TRANSITION
2022-04-12,1972.0999755859375,-0.14,-0.24243183805870339,REGIME_TRANSITION
2022-04-13,1981.0,-0.1,-0.18596845246464971,REGIME_DECOUPLED
2022-04-14,1970.9000244140625,-0.06,-0.1355728010881587,REGIME_DECOUPLED
2022-04-18,1982.9000244140625,-0.07,-0.08124656279918627,REGIME_DECOUPLED
2022-04-19,1955.699951171875,0.0,-0.051652651595231545,REGIME_DECOUPLED
2022-04-20,1952.300048828125,-0.07,-0.034843977624651926,REGIME_DECOUPLED
2022-04-21,1944.9000244140625,-0.12,-0.02536793344892479,REGIME_DECOUPLED
2022-04-22,1931.0,-0.08,-0.017060470441660255,REGIME_DECOUPLED
2022-04-25,1893.199951171875,-0.1,-0.03697543023505804,REGIME_DECOUPLED
2022-04-26,1901.4000244140625,-0.08,-0.0678942733477224,REGIME_DECOUPLED
2022-04-27,1885.9000244140625,-0.06,-0.10708373599502403,REGIME_DECOUPLED
2022-04-28,1888.699951171875,-0.12,-0.14220501785581935,REGIME_DECOUPLED
2022-04-29,1909.300048828125,0.01,-0.17214603933497127,REGIME_DECOUPLED
2022-05-02,1861.800048828125,0.18,-0.23179237176440334,REGIME_TRANSITION
2022-05-03,1868.800048828125,0.14,-0.27651577862836113,REGIME_TRANSITION
2022-05-04,1867.0,0.07,-0.31900484566218,REGIME_TRANSITION
2022-05-05,1874.0,0.18,-0.36008872906847045,REGIME_TRANSITION
2022-05-06,1881.199951171875,0.26,-0.40046776607938517,REGIME_TRANSITION
2022-05-09,1857.0999755859375,0.3,-0.45160113340523295,REGIME_TRANSITION
2022-05-10,1839.9000244140625,0.34,-0.5191950955610118,REGIME_NORMAL
2022-05-11,1852.5999755859375,0.21,-0.5586823111350577,REGIME_NORMAL
2022-05-12,1823.800048828125,0.25,-0.6030844870593627,REGIME_NORMAL
2022-05-13,1807.4000244140625,0.24,-0.6360250226083749,REGIME_NORMAL
2022-05-16,1813.5,0.2,-0.6551199242956189,REGIME_NORMAL
2022-05-17,1818.199951171875,0.27,-0.677037936021706,REGIME_NORMAL
2022-05-18,1815.9000244140625,0.17,-0.690408205726175,REGIME_NORMAL
2022-05-19,1841.199951171875,0.25,-0.7050023162283119,REGIME_NORMAL
2022-05-20,1841.800048828125,0.23,-0.7154364473092502,REGIME_NORMAL
2022-05-23,1847.800048828125,0.26,-0.7350964790715641,REGIME_NORMAL
2022-05-24,1865.0999755859375,0.21,-0.7568025323822084,REGIME_NORMAL
2022-05-25,1846.199951171875,0.19,-0.765885641949938,REGIME_NORMAL
2022-05-26,1847.4000244140625,0.13,-0.7808561747157758,REGIME_NORMAL
2022-05-27,1851.300048828125,0.11,-0.7894995190896122,REGIME_NORMAL
2022-05-31,1842.699951171875,0.21,-0.7920208063750267,REGIME_NORMAL
2022-06-01,1843.300048828125,0.29,-0.7872193180881958,REGIME_NORMAL
2022-06-02,1866.5,0.26,-0.7669207082327443,REGIME_NORMAL
2022-06-03,1845.4000244140625,0.22,-0.7590716885721942,REGIME_NORMAL
2022-06-06,1839.199951171875,0.28,-0.7475666078980885,REGIME_NORMAL
2022-06-07,1847.5,0.25,-0.7373395260635319,REGIME_NORMAL
2022-06-08,1851.9000244140625,0.28,-0.7334946208425035,REGIME_NORMAL
2022-06-09,1848.800048828125,0.29,-0.7416661186096157,REGIME_NORMAL
2022-06-10,1871.5,0.39,-0.7503113031313746,REGIME_NORMAL
2022-06-13,1828.0,0.69,-0.7557153463345548,REGIME_NORMAL
2022-06-14,1809.5,0.89,-0.7720549113509684,REGIME_NORMAL
2022-06-15,1815.300048828125,0.63,-0.7828290115728049,REGIME_NORMAL
2022-06-16,1845.699951171875,0.66,-0.7838015088952301,REGIME_NORMAL
2022-06-17,1835.5999755859375,0.67,-0.7851735035624452,REGIME_NORMAL
2022-06-21,1834.5999755859375,0.7,-0.7755690840408516,REGIME_NORMAL
2022-06-22,1834.300048828125,0.62,-0.768896440969116,REGIME_NORMAL
2022-06-23,1825.699951171875,0.59,-0.7681809959876916,REGIME_NORMAL
2022-06-24,1826.5,0.57,-0.7772147697971362,REGIME_NORMAL
2022-06-27,1820.9000244140625,0.65,-0.7796224672066421,REGIME_NORMAL
2022-06-28,1817.5,0.72,-0.7752358869238479,REGIME_NORMAL
2022-06-29,1813.699951171875,0.74,-0.7809837587732561,REGIME_NORMAL
